,Id,SalePrice
0,1461,124712.67
1,1462,162994.75
2,1463,174151.02
3,1464,178245.36
4,1465,194422.22
5,1466,174954.3
6,1467,168113.25
7,1468,161761.84
8,1469,186319.38
9,1470,130318.54
10,1471,199482.47
11,1472,93886.34
12,1473,92209.47
13,1474,154784.45
14,1475,136599.31
15,1476,390177.34
16,1477,257077.42
17,1478,304220.06
18,1479,279579.7
19,1480,486736.47
20,1481,316671.34
21,1482,211601.97
22,1483,167816.53
23,1484,168887.88
24,1485,178814.0
25,1486,192215.33
26,1487,349907.34
27,1488,240215.83
28,1489,197535.66
29,1490,225955.48
30,1491,189936.6
31,1492,91046.62
32,1493,198336.16
33,1494,292705.38
34,1495,300436.7
35,1496,231818.39
36,1497,183157.05
37,1498,163559.66
38,1499,166501.47
39,1500,145498.84
40,1501,165671.22
41,1502,158394.23
42,1503,299073.7
43,1504,228188.25
44,1505,214624.25
45,1506,188327.42
46,1507,239492.86
47,1508,202302.02
48,1509,165506.89
49,1510,145012.73
50,1511,145646.62
51,1512,179674.89
52,1513,144126.84
53,1514,165515.84
54,1515,189204.66
55,1516,166104.16
56,1517,157157.67
57,1518,145085.19
58,1519,219793.19
59,1520,135147.92
60,1521,134953.0
61,1522,168395.55
62,1523,110463.44
63,1524,122906.98
64,1525,124449.31
65,1526,126440.88
66,1527,104983.586
67,1528,131032.62
68,1529,144381.98
69,1530,174235.05
70,1531,107678.914
71,1532,105808.79
72,1533,150576.56
73,1534,119403.875
74,1535,153734.61
75,1536,109430.44
76,1537,74318.89
77,1538,181573.84
78,1539,206774.05
79,1540,99071.48
80,1541,139344.25
81,1542,135314.36
82,1543,239283.17
83,1544,83230.35
84,1545,110021.62
85,1546,123547.02
86,1547,136176.22
87,1548,136056.89
88,1549,114094.94
89,1550,138710.31
90,1551,124949.42
91,1552,126049.26
92,1553,156405.11
93,1554,106393.41
94,1555,174508.56
95,1556,84623.81
96,1557,109313.07
97,1558,94551.09
98,1559,79337.1
99,1560,135254.56
100,1561,131319.17
101,1562,126147.78
102,1563,120010.48
103,1564,160020.9
104,1565,147313.28
105,1566,223225.84
106,1567,72820.12
107,1568,223631.4
108,1569,143415.92
109,1570,138083.88
110,1571,126726.49
111,1572,150620.72
112,1573,261943.56
113,1574,121762.73
114,1575,223357.83
115,1576,216355.56
116,1577,188570.52
117,1578,145106.86
118,1579,150082.58
119,1580,194945.55
120,1581,149346.1
121,1582,129670.47
122,1583,309567.66
123,1584,227522.45
124,1585,140039.1
125,1586,84600.305
126,1587,95045.0
127,1588,146434.56
128,1589,95871.555
129,1590,135830.53
130,1591,98962.62
131,1592,115066.98
132,1593,129554.9
133,1594,117978.29
134,1595,116569.33
135,1596,231561.94
136,1597,186280.52
137,1598,199154.05
138,1599,196871.36
139,1600,191698.77
140,1601,85910.836
141,1602,111801.68
142,1603,86523.65
143,1604,282256.94
144,1605,241512.12
145,1606,163879.55
146,1607,174717.36
147,1608,209261.55
148,1609,193593.4
149,1610,158379.84
150,1611,145375.33
151,1612,183922.36
152,1613,157659.69
153,1614,128323.45
154,1615,86813.555
155,1616,69657.12
156,1617,93229.49
157,1618,125463.7
158,1619,142858.81
159,1620,161924.44
160,1621,126773.3
161,1622,142032.9
162,1623,293606.56
163,1624,211330.78
164,1625,132889.14
165,1626,165291.5
166,1627,181814.86
167,1628,279144.5
168,1629,182999.95
169,1630,389664.6
170,1631,221549.23
171,1632,239741.12
172,1633,171507.88
173,1634,176327.5
174,1635,180772.77
175,1636,152968.34
176,1637,177400.44
177,1638,206928.06
178,1639,181822.33
179,1640,258482.53
180,1641,183223.67
181,1642,219651.61
182,1643,217963.05
183,1644,222465.34
184,1645,192039.84
185,1646,158038.0
186,1647,169761.53
187,1648,135437.38
188,1649,134227.11
189,1650,117033.945
190,1651,125176.42
191,1652,98166.91
192,1653,96353.06
193,1654,149491.58
194,1655,158852.1
195,1656,147280.3
196,1657,146887.89
197,1658,147800.67
198,1659,144529.95
199,1660,153620.56
200,1661,458447.06
201,1662,432286.88
202,1663,402456.66
203,1664,456428.7
204,1665,311591.16
205,1666,324752.78
206,1667,375877.53
207,1668,329799.6
208,1669,311702.5
209,1670,381318.88
210,1671,246244.75
211,1672,447759.47
212,1673,294078.47
213,1674,243064.97
214,1675,178691.36
215,1676,179950.7
216,1677,210852.27
217,1678,443637.4
218,1679,403564.1
219,1680,335862.62
220,1681,281942.06
221,1682,293937.88
222,1683,175338.5
223,1684,178081.66
224,1685,172940.56
225,1686,174980.39
226,1687,167749.86
227,1688,182451.8
228,1689,185671.28
229,1690,185659.88
230,1691,178450.72
231,1692,275775.1
232,1693,172064.38
233,1694,177926.72
234,1695,170547.47
235,1696,267041.06
236,1697,171909.03
237,1698,389303.16
238,1699,334602.72
239,1700,242267.31
240,1701,264194.2
241,1702,256279.1
242,1703,246239.53
243,1704,294847.12
244,1705,242045.81
245,1706,461442.7
246,1707,216143.05
247,1708,197382.38
248,1709,318987.1
249,1710,218318.58
250,1711,254467.89
251,1712,248973.08
252,1713,256227.5
253,1714,210384.94
254,1715,198486.14
255,1716,180100.9
256,1717,175260.77
257,1718,138638.47
258,1719,199931.92
259,1720,246898.72
260,1721,172953.84
261,1722,129908.49
262,1723,149488.62
263,1724,217392.56
264,1725,234995.75
265,1726,189206.02
266,1727,155030.98
267,1728,187077.94
268,1729,164600.72
269,1730,171103.28
270,1731,127614.37
271,1732,128352.18
272,1733,121506.07
273,1734,126113.7
274,1735,135716.4
275,1736,117695.54
276,1737,360891.12
277,1738,205094.03
278,1739,296650.78
279,1740,213044.5
280,1741,178431.77
281,1742,161025.66
282,1743,170996.56
283,1744,296129.88
284,1745,211527.27
285,1746,226067.39
286,1747,225813.78
287,1748,229486.66
288,1749,153580.31
289,1750,134422.95
290,1751,248974.88
291,1752,123156.7
292,1753,153328.78
293,1754,206009.62
294,1755,167644.78
295,1756,132782.33
296,1757,122905.04
297,1758,148890.97
298,1759,160101.19
299,1760,164191.67
300,1761,139682.19
301,1762,165632.97
302,1763,179429.94
303,1764,121370.195
304,1765,179168.31
305,1766,185182.56
306,1767,224875.22
307,1768,143608.75
308,1769,181116.9
309,1770,146346.22
310,1771,130728.23
311,1772,145088.9
312,1773,129041.33
313,1774,131218.14
314,1775,132622.6
315,1776,131439.23
316,1777,115131.86
317,1778,137008.56
318,1779,117569.6
319,1780,177135.42
320,1781,134176.34
321,1782,100770.82
322,1783,124876.016
323,1784,96468.336
324,1785,121833.53
325,1786,163453.14
326,1787,166450.64
327,1788,62509.867
328,1789,107335.76
329,1790,88433.805
330,1791,180816.47
331,1792,156144.92
332,1793,132202.48
333,1794,144410.78
334,1795,131273.66
335,1796,128928.33
336,1797,120358.695
337,1798,125530.945
338,1799,117787.875
339,1800,127475.24
340,1801,122319.57
341,1802,144425.3
342,1803,152965.06
343,1804,139195.38
344,1805,139243.12
345,1806,110115.125
346,1807,137617.03
347,1808,123192.13
348,1809,116237.695
349,1810,141599.31
350,1811,97439.41
351,1812,98267.37
352,1813,120422.58
353,1814,93803.91
354,1815,59947.46
355,1816,95487.43
356,1817,106386.12
357,1818,152786.38
358,1819,117117.24
359,1820,56270.793
360,1821,108506.53
361,1822,151096.69
362,1823,41533.293
363,1824,143499.34
364,1825,129980.36
365,1826,101524.55
366,1827,109056.28
367,1828,135872.48
368,1829,124035.734
369,1830,139063.81
370,1831,177981.06
371,1832,87484.4
372,1833,143500.53
373,1834,118185.66
374,1835,152386.7
375,1836,125470.3
376,1837,93115.29
377,1838,120814.31
378,1839,88971.375
379,1840,143847.98
380,1841,139871.0
381,1842,76037.04
382,1843,138171.02
383,1844,134436.44
384,1845,141923.53
385,1846,160217.23
386,1847,161392.36
387,1848,57084.348
388,1849,123141.25
389,1850,122867.23
390,1851,160200.22
391,1852,130403.83
392,1853,130416.086
393,1854,169455.67
394,1855,136029.16
395,1856,219321.5
396,1857,160606.44
397,1858,128816.86
398,1859,127971.61
399,1860,135965.52
400,1861,127971.61
401,1862,343217.53
402,1863,341931.03
403,1864,341931.03
404,1865,317110.44
405,1866,313426.9
406,1867,252058.38
407,1868,308448.88
408,1869,201215.17
409,1870,261528.72
410,1871,259273.64
411,1872,170856.55
412,1873,222103.94
413,1874,147553.38
414,1875,204222.84
415,1876,194902.12
416,1877,216386.69
417,1878,206738.19
418,1879,133831.97
419,1880,138916.31
420,1881,221585.89
421,1882,253139.0
422,1883,192668.52
423,1884,206379.23
424,1885,266406.62
425,1886,299156.38
426,1887,206899.81
427,1888,296481.56
428,1889,166392.9
429,1890,131252.12
430,1891,137845.6
431,1892,110268.164
432,1893,127159.484
433,1894,134420.1
434,1895,141907.19
435,1896,122156.04
